race_date,horse_name,jockey,trainer,actual_weight,draw,win_odds,race_distance,is_top3,last_is_top3,top3_rate_last_1,top3_rate_last_3,top3_rate_last_5,avg_odds_last_3,avg_actual_weight_last_3,days_since_last_race,predicted_top3_prob,implied_prob,edge,expected_return,profit,cumulative_profit,cumulative_return
2023-01-01,加州星球,巴度,韋達,123,2,4.9,1800,0,,,,,,,,0.2707293629230064,0.2040816326530612,0.0666477302699452,0.3265738783227315,-1.0,-1.0,-100.0
2023-01-20,加州星球,莫雷拉,沈集成,127,12,1.4,1200,1,0.0,0.0,0.0,0.0,4.9,123.0,19.0,0.8128427254440231,0.7142857142857143,0.0985570111583088,0.1379798156216323,0.3999999999999999,-0.6000000000000001,-30.000000000000004
2023-02-01,加州星球,希威森,蘇保羅,126,8,18.7,2200,0,1.0,0.5,0.5,0.5,3.1500000000000004,125.0,12.0,0.1342616564301728,0.053475935828877,0.0807857206012958,1.5106929752442313,-1.0,-1.6,-53.333333333333336
2023-02-07,加州星球,田泰安,蘇保羅,128,8,13.2,1200,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,8.333333333333334,125.33333333333331,6.0,0.1293864958833927,0.0757575757575757,0.0536289201258169,0.7079017456607836,-1.0,-2.6,-65.0
2023-02-22,加州星球,潘頓,韋達,118,10,2.1,1000,0,0.0,0.25,0.3333333333333333,0.25,11.1,127.0,15.0,0.7159825199888669,0.4761904761904761,0.2397920437983907,0.5035632919766204,-1.0,-3.6,-72.0
2023-02-23,加州星球,田泰安,呂健威,124,3,5.8,1400,0,0.0,0.2,0.0,0.2,11.333333333333334,124.0,1.0,0.4666558125770352,0.1724137931034483,0.2942420194735869,1.706603712946804,-1.0,-4.6,-76.66666666666666
2023-02-25,加州星球,希威森,蘇保羅,118,8,12.9,1400,1,0.0,0.1666666666666666,0.0,0.2,7.033333333333332,123.33333333333331,2.0,0.6328149007682526,0.0775193798449612,0.5552955209232914,7.163312219910459,11.9,7.300000000000001,104.28571428571429
2023-02-27,加州星球,希威森,葉楚航,121,11,17.9,1200,0,1.0,0.2857142857142857,0.3333333333333333,0.2,6.933333333333334,120.0,2.0,0.2354553079521461,0.0558659217877095,0.1795893861644366,3.2146500123434145,-1.0,6.300000000000001,78.75000000000001
2023-04-05,加州星球,希威森,沈集成,119,11,8.9,2000,0,0.0,0.2222222222222222,0.3333333333333333,0.2,18.266666666666666,123.33333333333331,6.0,0.2313326882179733,0.1123595505617977,0.1189731376561755,1.058860925139962,-1.0,5.300000000000001,58.8888888888889
2023-05-02,加州星球,潘頓,呂健威,116,1,1.9,2200,1,0.0,0.2,0.0,0.2,16.933333333333334,123.66666666666669,27.0,0.8671558990741641,0.5263157894736842,0.3408401096004799,0.6475962082409118,0.8999999999999999,6.200000000000001,62.000000000000014
2023-05-05,加州星球,蔡明紹,韋達,118,10,11.3,1400,0,1.0,0.2727272727272727,0.3333333333333333,0.4,11.6,122.0,3.0,0.2241606369439771,0.0884955752212389,0.1356650617227381,1.5330151974669413,-1.0,5.200000000000001,47.27272727272728
2023-05-27,加州星球,艾道拿,沈集成,122,4,17.1,1800,0,0.0,0.25,0.3333333333333333,0.2,7.366666666666667,117.66666666666669,22.0,0.2552981462159672,0.0584795321637426,0.1968186140522245,3.36559830029304,-1.0,4.200000000000001,35.00000000000001
2023-06-10,加州星球,巴度,韋達,116,8,16.6,1600,0,0.0,0.2307692307692307,0.3333333333333333,0.2,10.1,118.66666666666669,14.0,0.2734343784439866,0.0602409638554216,0.2131934145885649,3.539010682170177,-1.0,3.200000000000001,24.615384615384624
2023-06-17,加州星球,田泰安,沈集成,115,13,24.2,1400,0,0.0,0.2142857142857142,0.0,0.2,15.0,118.66666666666669,7.0,0.2252902725961909,0.0413223140495867,0.1839679585466041,4.45202459682782,-1.0,2.200000000000001,15.714285714285722
2023-07-16,加州星球,巴度,告東尼,115,12,13.6,2200,0,0.0,0.1875,0.0,0.0,14.366666666666664,120.33333333333331,22.0,0.4060724870854199,0.0735294117647058,0.332543075320714,4.52258582436171,-1.0,1.200000000000001,8.000000000000007
2023-08-05,加州星球,巴度,葉楚航,131,3,11.2,2000,1,0.0,0.1666666666666666,0.0,0.0,6.166666666666667,124.0,2.0,0.3051422432271512,0.0892857142857142,0.2158565289414369,2.4175931241440938,10.2,11.4,71.25
2023-08-10,加州星球,希威森,呂健威,134,9,30.5,1600,0,1.0,0.2105263157894736,0.3333333333333333,0.2,9.133333333333333,124.33333333333331,5.0,0.0972071571633224,0.0327868852459016,0.0644202719174207,1.9648182934813327,-1.0,10.4,61.1764705882353
2023-08-12,加州星球,希威森,呂健威,135,5,25.1,1400,0,0.0,0.2,0.3333333333333333,0.2,14.766666666666666,130.66666666666666,2.0,0.2121594309951269,0.0398406374501992,0.1723187935449277,4.325201717977686,-1.0,9.4,52.22222222222223
